80,90,75
80,100,90
90,90,75
90,100,90
85,90,90
80,90,85
90,100,90
85,90,90
90,100,90
95,100,90
85,90,90
90,90,75
95,80,95
90,100,90
80,90,90
80,90,75
70,90,75
85,100,90
85,100,90
85,100,90
90,100,90
90,100,90
90,90,75
85,90,90
80,100,90
80,90,80
70,100,90
90,100,90
80,90,75
85,100,90
90,100,90
90,100,90
90,100,90
90,90,80
80,100,90
85,100,90
90,100,90
80,100,90
90,100,90
80,100,90
90,90,80
90,90,80
85,90,80
90,100,90
70,100,90
80,60,60
85,80,80
80,90,70
90,100,90
90,100,90
90,100,90
70,90,80
70,100,90
85,90,90
90,100,90
85,100,90
90,90,80
90,95,80
90,100,90
85,100,90
90,100,90
80,100,90
85,85,75
80,100,90
80,100,90
85,100,90
80,100,90
90,100,90
90,100,90
90,100,90
85,95,80
95,100,90
80,80,95
80,80,95
85,90,75
85,100,90
80,90,75
90,90,80
85,90,80
90,100,90
85,90,75
70,100,90
80,90,75
85,65,90
80,100,90
90,65,80
95,100,90
85,100,90
85,100,90
80,100,90
70,95,80
90,100,90
90,100,90
90,100,90
90,100,90
70,100,90
85,70,75
80,100,90
80,100,90
80,100,90
80,100,90
90,90,75
90,100,90
80,90,75
90,100,90
85,90,80
90,100,90
60,100,90
85,90,75
85,100,90
85,100,90
85,100,90
90,90,75
90,100,90
90,100,90
90,100,90
90,100,90
85,90,75
85,100,90
85,100,90
85,80,70
80,100,90
80,100,90
80,100,90
80,100,90
80,100,90
90,90,75
85,90,75
100,100,90
80,90,75
80,90,75
85,90,85
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
90,100,90
70,90,75
85,100,90
85,100,90
85,100,90
85,100,90
85,100,90
85,100,90
85,85,85
80,90,75
80,100,90
80,100,90
80,100,90
80,100,90
80,100,90
75,65,90
70,100,90
70,100,90
70,100,90
70,100,90
80,90,75
80,70,90
60,60,60
60,100,90
60,100,90
60,100,90
85,90,75
90,85,75
85,85,75
90,80,75
90,90,80
80,95,80
80,95,80
75,90,75
70,95,80
70,95,80
85,65,75
85,65,90
70,85,75
70,85,75
70,85,75
45,85,75
90,85,60
90,85,60
80,85,60
75,85,60
85,65,80
70,85,60
85,65,75
85,65,75
85,65,60
70,60,60
85,65,65
90,70,60
90,70,60
80,70,60
85,65,60
85,65,60
85,65,60
70,70,60
75,60,60
70,60,60
