114.03,22.55
113.16,21.94
121.56,30.92
113.13,23.04
107.05,33.08
109.70,39.42
119.92,32.48
109.42,24.33
115.46,35.26
123.43,41.81
78.52,37.23
76.02,39.48
120.52,37.61
101.77,36.64
89.01,42.89
125.38,46.54
122.31,29.95
109.65,24.89
75.99,39.47
109.99,27.56
87.56,43.84
114.19,22.29
81.16,40.35
107.95,26.63
76.01,39.51
112.55,37.89
79.92,37.15
103.70,24.49
112.59,34.91
103.73,27.34
96.36,30.51
81.16,40.35
114.39,36.37
101.97,30.06
110.27,27.90
126.66,45.77
116.40,39.93
121.25,31.36
119.60,39.95
119.42,30.90
120.07,29.31
104.87,31.03
108.64,21.97
125.15,42.99
113.65,34.76
110.15,22.64
110.26,25.26
118.10,24.49
112.58,31.24
120.38,36.11
113.08,22.58
110.37,21.26
114.32,30.58
102.71,25.05
91.11,29.66
109.85,40.65
104.07,30.68
106.21,38.50
88.14,47.85
114.90,33.71
119.02,25.44
113.76,23.04
85.01,44.56
81.29,44.02
113.31,23.12
105.04,31.12
117.20,28.19
121.49,31.25
80.75,44.19
109.91,31.12
113.05,25.32
119.33,26.05
121.58,29.89
78.52,37.23
89.01,42.89
97.83,29.85
100.68,30.88
78.91,39.62
84.58,41.82
79.28,41.26
77.01,38.32
85.61,42.13
110.01,25.87
76.13,39.79
116.86,29.87
106.53,29.54
80.46,41.58
124.51,45.48
101.33,24.88
76.37,39.19
79.64,41.23
